description,incident_type,severity,people_affected,rainfall_mm,nearby_reports,risk_zone,risk_score,incident_type_encoded,severity_encoded,risk_zone_encoded
a large hillside collapse has damaged nearby houses creating a serious threat to nearby communities.,Landslide,Medium,22,199,20,Low,40,5,2,1
a major building fire has destroyed residential property and firefighters require immediate assistance.,Urban Fire,Critical,20,63,14,High,85,8,0,0
a large fire in dry forest land is burning through dry vegetation with visibility severely reduced by smoke.,Forest Fire,Critical,22,41,7,High,97,3,0,0
severe waterlogging has submerged low lying areas while water levels continue to rise.,Flood,Critical,24,128,7,High,87,2,0,0
a rapidly spreading city fire has filled buildings with heavy smoke and trapped residents need rescue.,Urban Fire,Medium,2,64,9,Medium,45,8,2,2
violent storm activity has forced families to leave their homes and additional emergency support is needed.,Cyclone,Medium,1,178,2,Low,42,0,2,1
a rapidly approaching cyclone has damaged communication infrastructure and emergency evacuation is required.,Cyclone,Medium,11,43,12,Low,35,0,2,1
a major landslide has blocked access to residential areas while residents remain stranded.,Landslide,High,5,61,10,Medium,72,5,1,2
flood water has isolated the local community and rescue teams are needed.,Flood,High,7,186,2,High,66,2,1,0
flames inside the forest is moving toward populated regions creating a serious danger to nearby communities.,Forest Fire,High,28,38,4,High,77,3,1,0
a major earthquake has created large cracks in walls and immediate structural assessment is required.,Earthquake,Critical,4,64,9,High,88,1,0,0
a lightning strike has struck a residential building as additional lightning activity is reported.,Lightning,Critical,9,2,10,High,89,6,0,0
rising river water has reached nearby schools and rescue teams are needed.,Flood,Critical,6,25,19,High,87,2,0,0
a large market fire has destroyed residential property with emergency responders at the scene.,Urban Fire,Medium,0,8,2,Low,52,8,2,1
a lightning strike has disrupted electrical equipment creating a serious safety risk.,Lightning,High,27,44,14,High,73,6,1,0
repeated lightning activity has caused a medical emergency and emergency responders are needed.,Lightning,High,6,24,13,Medium,82,6,1,2
a seriously injured person requires emergency evacuation with medical assistance urgently required.,Medical Emergency,High,24,76,18,High,81,7,1,0
severe waterlogging has disrupted transportation and rescue teams are needed.,Flood,High,7,71,14,Medium,76,2,1,2
a large fire in dry forest land has forced residents to prepare for evacuation with visibility severely reduced by smoke.,Forest Fire,Medium,13,48,14,Medium,37,3,2,2
unstable hillside material has damaged local infrastructure with transportation completely disrupted.,Landslide,Medium,23,142,16,Low,48,5,2,1
a commercial building fire has trapped people inside a building and trapped residents need rescue.,Urban Fire,Critical,24,13,3,High,99,8,0,0
a large fire in dry forest land has affected a large forest area with visibility severely reduced by smoke.,Forest Fire,Critical,6,75,11,High,98,3,0,0
repeated lightning activity has damaged electrical infrastructure as additional lightning activity is reported.,Lightning,High,2,55,6,Medium,69,6,1,2
a large hillside collapse has buried part of the mountain road creating a serious threat to nearby communities.,Landslide,Critical,17,175,16,High,91,5,0,0
a large hillside collapse has buried sections of the roadway and emergency clearance is needed.,Landslide,Critical,10,45,20,High,90,5,0,0
rapidly rising water levels has blocked the main access road and rescue teams are needed.,Flood,Medium,13,20,16,Medium,64,2,2,2
severe heat conditions is affecting outdoor workers and vulnerable residents need support.,Heatwave,Medium,10,70,1,Low,35,4,2,1
a powerful electrical discharge has damaged electrical infrastructure as additional lightning activity is reported.,Lightning,Critical,25,24,4,High,85,6,0,0
severe heat conditions is causing heat exhaustion and emergency medical teams are being requested.,Heatwave,Critical,5,68,17,High,85,4,0,0
a powerful earthquake has damaged residential structures with people potentially trapped under debris.,Earthquake,Medium,21,54,17,Medium,50,1,2,2
a major landslide has completely blocked the highway and rescue teams are required.,Landslide,High,22,55,15,High,79,5,1,0
several injured residents needs critical medical attention with emergency medical support required.,Medical Emergency,Critical,16,58,17,High,99,7,0,0
a rapidly spreading wildfire is producing heavy smoke and firefighters require additional support.,Forest Fire,High,28,6,1,Medium,68,3,1,2
a major building fire is spreading through a residential area and emergency evacuation is required.,Urban Fire,Critical,20,49,9,High,88,8,0,0
strong seismic shaking has created large cracks in walls while aftershocks remain possible.,Earthquake,Medium,0,50,8,Medium,61,1,2,2
extreme storm conditions has blocked several roads as the storm continues to intensify.,Cyclone,Medium,20,172,0,Low,36,0,2,1
heavy rainfall has submerged low lying areas and residents are requesting immediate assistance.,Flood,High,24,117,8,Medium,78,2,1,2
a commercial building fire has destroyed residential property with emergency responders at the scene.,Urban Fire,Medium,26,71,18,Low,46,8,2,1
rapidly rising water levels has disrupted transportation and rescue teams are needed.,Flood,High,25,168,19,Medium,75,2,1,2
flames inside the forest has affected a large forest area creating a serious danger to nearby communities.,Forest Fire,High,10,70,18,Medium,69,3,1,2
prolonged hot weather is causing serious illness among residents creating a serious public safety concern.,Heatwave,Medium,10,67,7,Medium,40,4,2,2
dangerously high temperatures is causing people to collapse and medical assistance is required.,Heatwave,Critical,3,50,6,High,92,4,0,0
a strong seismic event has damaged residential structures with people potentially trapped under debris.,Earthquake,Medium,28,63,14,Low,38,1,2,1
severe earthquake tremors has destroyed several homes while aftershocks remain possible.,Earthquake,Critical,25,75,17,High,88,1,0,0
overflowing water has isolated the local community and residents are requesting immediate assistance.,Flood,Medium,27,51,9,Low,51,2,2,1
a rapidly approaching cyclone has caused widespread property damage and residents need immediate shelter.,Cyclone,Critical,4,164,6,High,86,0,0,0
severe cyclone winds has knocked down electricity poles while dangerous winds continue.,Cyclone,Medium,22,103,12,Low,54,0,2,1
a strong seismic event has damaged roads and bridges and injured residents require assistance.,Earthquake,Medium,1,9,1,Medium,59,1,2,2
heavy rainfall has blocked the main access road with several people unable to leave.,Flood,Medium,17,172,10,Low,59,2,2,1
an unconscious patient needs critical medical attention while the patient's condition remains serious.,Medical Emergency,High,5,7,9,Medium,71,7,1,2
a strong seismic event has left multiple buildings unsafe and emergency response operations are underway.,Earthquake,High,30,48,16,Medium,75,1,1,2
heavy rainfall triggered debris has covered the road with debris and rescue teams are required.,Landslide,Medium,8,83,3,Medium,35,5,2,2
overflowing water has surrounded several families and rescue teams are needed.,Flood,Critical,23,141,14,High,89,2,0,0
falling rocks and soil has created dangerous conditions for travelers with transportation completely disrupted.,Landslide,Critical,24,185,11,High,90,5,0,0
multiple accident victims needs an emergency ambulance creating a critical situation.,Medical Emergency,High,15,50,5,Medium,65,7,1,2
strong seismic shaking has damaged roads and bridges and immediate structural assessment is required.,Earthquake,High,21,77,19,High,66,1,1,0
severe cyclone winds has blocked several roads and residents need immediate shelter.,Cyclone,Medium,13,49,4,Medium,36,0,2,2
unstable hillside material has damaged nearby houses creating a serious threat to nearby communities.,Landslide,Medium,23,105,4,Low,36,5,2,1
a person with a critical injury requires emergency evacuation with medical assistance urgently required.,Medical Emergency,Critical,13,37,12,High,87,7,0,0
flood water has blocked the main access road with several people unable to leave.,Flood,High,28,30,11,High,71,2,1,0
intense ground movement has caused widespread structural damage while aftershocks remain possible.,Earthquake,Critical,22,77,6,High,91,1,0,0
a rapidly spreading wildfire has damaged forest infrastructure and evacuation may become necessary.,Forest Fire,Critical,18,28,16,High,95,3,0,0
strong seismic shaking has affected hospitals and public buildings creating a serious threat to residents.,Earthquake,Medium,27,44,3,Low,40,1,2,1
a major landslide has isolated a village and immediate assistance is requested.,Landslide,High,23,24,11,Medium,67,5,1,2
a rapidly approaching cyclone has forced families to leave their homes with rescue teams being deployed.,Cyclone,Medium,6,178,8,Medium,56,0,2,2
severe lightning activity has struck a residential building and emergency responders are needed.,Lightning,Critical,5,35,12,High,87,6,0,0
a commercial building fire has damaged commercial infrastructure and trapped residents need rescue.,Urban Fire,Critical,3,8,15,High,93,8,0,0
lightning during a major storm has caused serious injuries with medical teams being requested.,Lightning,High,6,31,2,Medium,76,6,1,2
heavy rainfall triggered debris has trapped several vehicles while residents remain stranded.,Landslide,High,16,193,5,High,65,5,1,0
extreme storm conditions has forced families to leave their homes and emergency evacuation is required.,Cyclone,Critical,4,158,8,High,97,0,0,0
a powerful earthquake has caused widespread structural damage and rescue teams are urgently needed.,Earthquake,High,9,35,1,High,82,1,1,0
extreme storm conditions has damaged communication infrastructure while dangerous winds continue.,Cyclone,High,20,45,15,Medium,84,0,1,2
a sudden mountain slope collapse has trapped several vehicles and immediate assistance is requested.,Landslide,Medium,17,94,9,Medium,62,5,2,2
a large hillside collapse has isolated a village and immediate assistance is requested.,Landslide,High,16,34,3,High,81,5,1,0
heavy rainfall has blocked the main access road making the area inaccessible.,Flood,Critical,20,196,0,High,99,2,0,0
a strong seismic event has left multiple buildings unsafe creating a serious threat to residents.,Earthquake,Medium,16,32,11,Low,43,1,2,1
unstable hillside material has blocked access to residential areas and immediate assistance is requested.,Landslide,Critical,14,64,14,High,86,5,0,0
a severe medical emergency has been injured in an accident while the patient's condition remains serious.,Medical Emergency,High,16,55,4,Medium,69,7,1,2
a major landslide has blocked access to residential areas with transportation completely disrupted.,Landslide,High,19,129,5,Medium,79,5,1,2
flames inside the forest has damaged forest infrastructure and firefighters require additional support.,Forest Fire,High,21,62,13,Medium,79,3,1,2
a major building fire has filled buildings with heavy smoke and trapped residents need rescue.,Urban Fire,High,13,26,13,Medium,76,8,1,2
a severe heatwave has affected elderly people creating a serious public safety concern.,Heatwave,Medium,2,23,5,Medium,58,4,2,2
a rapidly spreading city fire has damaged several shops and trapped residents need rescue.,Urban Fire,Critical,27,66,9,High,88,8,0,0
severe cyclone winds has damaged residential roofs while dangerous winds continue.,Cyclone,High,29,169,4,Medium,72,0,1,2
severe cyclone winds has affected multiple villages as the storm continues to intensify.,Cyclone,High,24,57,19,Medium,65,0,1,2
a lightning strike has caused a medical emergency and injured people need immediate treatment.,Lightning,High,29,8,2,Medium,77,6,1,2
strong seismic shaking has damaged residential structures with people potentially trapped under debris.,Earthquake,Critical,26,70,16,High,88,1,0,0
heavy rainfall triggered debris has damaged nearby houses and immediate assistance is requested.,Landslide,Critical,1,71,1,High,90,5,0,0
extreme storm conditions has affected multiple villages and emergency evacuation is required.,Cyclone,Critical,23,43,13,High,86,0,0,0
a large fire in dry forest land is producing heavy smoke as strong winds continue to push the flames.,Forest Fire,Medium,12,62,4,Low,53,3,2,1
severe lightning activity has affected people outdoors and injured people need immediate treatment.,Lightning,High,20,15,0,Medium,72,6,1,2
a powerful electrical discharge has injured people in the area and emergency medical assistance is required.,Lightning,Critical,14,6,11,High,96,6,0,0
a powerful coastal cyclone has uprooted large trees while dangerous winds continue.,Cyclone,High,1,196,11,Medium,71,0,1,2
a severe medical emergency needs an emergency ambulance and an ambulance is needed immediately.,Medical Emergency,Critical,30,79,4,High,98,7,0,0
rapidly rising water levels has disrupted transportation with several people unable to leave.,Flood,Medium,4,69,13,Low,56,2,2,1
flames inside the forest is spreading toward nearby villages as strong winds continue to push the flames.,Forest Fire,High,22,37,9,Medium,83,3,1,2
violent storm activity has affected multiple villages and residents need immediate shelter.,Cyclone,Medium,4,39,15,Low,60,0,2,1
extreme heat is causing people to collapse and medical assistance is required.,Heatwave,Critical,16,13,0,High,91,4,0,0
severe heat conditions is causing heat exhaustion while temperatures remain extremely high.,Heatwave,Critical,1,7,6,High,89,4,0,0
extreme storm conditions has damaged communication infrastructure and residents need immediate shelter.,Cyclone,Medium,20,161,6,Low,48,0,2,1
